Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaFork;5;1;5;284;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;6;313;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;7;301;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;8;295;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;9;306;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;10;262;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;11;273;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;12;714;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;13;2267;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;14;510;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;15;300;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;16;331;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;17;308;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;18;381;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;19;334;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;20;319;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;21;323;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;22;318;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;23;296;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;24;362;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;25;297;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;26;359;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;27;319;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;28;287;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;29;300;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;30;318;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;2;353;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;3;435;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;4;380;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;5;381;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;6;413;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;7;655;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;8;336;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;9;344;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;10;392;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;11;366;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;12;347;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;13;421;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;14;392;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;15;376;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;16;419;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;17;428;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;18;420;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;19;429;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;20;723;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;21;1000;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;22;868;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;23;432;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;24;970;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;25;768;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;26;553;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;27;339;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;28;692;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;29;470;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;2;30;559;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;1;1254;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;2;1460;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;3;1267;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;4;1964;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;5;4587;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;6;802;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;7;841;;;;;;;;;;;;;;;;;;;;;;;;;;
