Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;3;4;26;286;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;27;141;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;28;247;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;29;105;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;30;208;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;1;295;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;2;271;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;3;427;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;4;329;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;5;729;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;6;306;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;7;261;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;8;282;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;9;297;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;10;229;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;11;271;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;12;319;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;13;326;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;14;237;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;15;253;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;16;240;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;17;311;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;18;269;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;19;254;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;20;231;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;21;270;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;22;289;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;23;243;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;24;237;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;25;465;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;26;243;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;27;256;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;28;228;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;29;238;;;;;;;;;;;;;
mmClasicaOpenMP;3;8;30;264;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;1;2;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;2;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;3;7;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;4;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;5;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;6;2;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;7;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;8;5;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;9;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;10;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;11;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;12;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;13;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;14;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;15;2;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;16;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;17;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;18;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;19;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;20;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;21;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;22;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;23;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;24;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;25;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;26;3;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;27;2;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;28;7;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;29;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;1;30;4;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;1;59;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;2;54;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;3;54;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;4;70;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;5;56;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;6;66;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;7;49;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;8;79;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;9;82;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;10;53;;;;;;;;;;;;;
